Opgørelsesår,Kommune,Fødselsårgang,Køn,Antal børn,Gennemsnitlig højde i cm,Gennemsnitlig vægt i gram,Procentdel undervægt,Procentdel normalvægt,Procentdel moderat overvægt,Procentdel svær overvægt,urban_rural
2025,Allerød,2009.0,Kvinde,171,166.046783625731,56706.43274853801,1.7543859649122806,85.38011695906432,11.11111111111111,1.7543859649122806,Rural
2014,Allerød,1998.0,Mand,184,173.92391304347825,60838.04347826087,2.717391304347826,86.95652173913044,9.782608695652174,0.5434782608695652,Rural
2015,Allerød,1999.0,Mand,139,173.7841726618705,60735.97122302158,0.7194244604316548,87.05035971223022,9.352517985611511,2.877697841726619,Rural
2016,Allerød,2000.0,Mand,73,172.6164383561644,60986.30136986302,1.36986301369863,78.08219178082192,19.17808219178082,1.36986301369863,Rural
2017,Allerød,2001.0,Mand,74,169.3108108108108,59070.27027027027,,83.78378378378379,14.864864864864865,1.3513513513513513,Rural
2018,Allerød,2002.0,Mand,41,174.4878048780488,63170.73170731707,2.4390243902439024,75.60975609756098,17.073170731707318,4.878048780487805,Rural
2019,Allerød,2003.0,Mand,55,174.12727272727273,61705.454545454544,5.454545454545454,83.63636363636363,10.909090909090908,,Rural
2020,Allerød,2004.0,Mand,179,174.45251396648044,60090.50279329609,1.1173184357541899,90.5027932960894,7.82122905027933,0.5586592178770949,Rural
2021,Allerød,2005.0,Mand,167,175.21556886227546,63158.68263473054,0.5988023952095809,83.23353293413174,13.17365269461078,2.9940119760479043,Rural
2022,Allerød,2006.0,Mand,179,174.89944134078212,62132.960893854746,2.2346368715083798,84.91620111731844,8.938547486033519,3.910614525139665,Rural
2023,Allerød,2007.0,Mand,184,175.30978260869566,62921.739130434784,1.6304347826086956,83.69565217391305,11.956521739130435,2.717391304347826,Rural
2024,Allerød,2008.0,Mand,199,174.81909547738692,63253.76884422111,,83.41708542713567,14.07035175879397,2.512562814070352,Rural
